peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,        rms_min,rms_max,rms_mean,rms_std,flat_min,flat_max,flat_mean,flat_std,        rolloff_min,rolloff_max,rolloff_mean,rolloff_std,        num_samples,sample_rate,species
6912.158203125,69,4282.309241202705,10020,6869.091796875,7041.357421875,7170.556640625,6782.958984375,6029.296875,5038.76953125,0.0005905813,0.109805636,0.017782668,0.026667632,1.7256385e-05,0.27946314,0.07484393,0.09271197,5555.56640625,18174.0234375,11592.7875,4022.707150138277,63945,44100,Carolina Chickadee
1765.72265625,42,1339.9945670973298,2574,1787.255859375,1614.990234375,1571.923828125,1722.65625,1765.72265625,1701.123046875,0.0053731557,0.10098276,0.017417626,0.022585593,1.0769526e-05,0.00325174,0.0012718635,0.00084710016,1808.7890625,7687.353515625,5085.108984375,1513.753379848698,63945,44100,Canada Goose
2885.44921875,54,2009.6367704220825,4179,3079.248046875,2648.583984375,3036.181640625,2842.3828125,2562.451171875,3186.9140625,0.0026680806,0.036674563,0.009301836,0.010110234,0.00024593426,0.04697457,0.018072806,0.01321671,3229.98046875,12123.193359375,9593.47265625,2444.4616621479004,63945,44100,American Robin
925.927734375,34,759.79382673208,1332,968.994140625,1442.724609375,990.52734375,1442.724609375,1528.857421875,1421.19140625,0.00677992,0.04525637,0.015314697,0.007371431,0.00018043385,0.0076232734,0.0025596998,0.0016553755,2325.5859375,9840.673828125,7175.896875,1460.5637703285502,63945,44100,Canada Goose
2260.986328125,50,1663.3262981669018,3263,4112.841796875,2476.318359375,3165.380859375,2497.8515625,2282.51953125,2217.919921875,0.0054179486,0.09229842,0.022228593,0.02175121,3.2771386e-05,0.006698326,0.0028676188,0.002290744,2713.18359375,8247.216796875,5857.203515625,1538.8621823651984,63945,44100,American Robin
2045.654296875,47,1492.9327522878455,2958,2002.587890625,1981.0546875,2067.1875,2067.1875,2024.12109375,2024.12109375,0.0009348852,0.030496625,0.0057130405,0.007792955,8.6646694e-05,0.10403482,0.044466384,0.030197056,3811.376953125,13329.052734375,10591.5796875,2729.8897449143305,63945,44100,Blue Jay
6351.5625,67,3741.1620115459477,8941,3304.6875,6304.6875,3281.25,3046.875,6562.5,6164.0625,0.016549874,0.048552204,0.021642629,0.0057186834,0.00015586018,0.009953216,0.0023620175,0.0011908098,7148.4375,10968.75,8264.13143382353,507.81295487985346,69600,48000,Blue Jay
2859.375,53,1956.0649283422904,4107,2812.5,3187.5,3585.9375,2906.25,3679.6875,2882.8125,0.0023705915,0.11873876,0.018768748,0.025272107,5.4626133e-05,0.20494996,0.06590874,0.061692655,2953.125,19476.5625,13544.806985294117,5679.544734336618,69600,48000,American Robin
3725.244140625,21,2562.8682859474306,5406,6890.625,6826.025390625,6782.958984375,6481.494140625,6589.16015625,3617.578125,0.012675076,0.059573848,0.026134977,0.012305902,0.0013176781,0.035180327,0.008934426,0.005618992,7127.490234375,12123.193359375,10155.575390625,1526.0383137532044,63945,44100,Carolina Chickadee
7601.220703125,70,4643.879394964275,11028,7708.88671875,7428.955078125,7558.154296875,7385.888671875,2993.115234375,7515.087890625,0.0036204513,0.16900316,0.053543236,0.05075953,2.5056239e-05,0.029020984,0.004802978,0.008688802,3531.4453125,8053.41796875,6823.269140625,1450.8789780997577,63945,44100,Carolina Chickadee
4069.775390625,59,2705.1720466601614,5900,3682.177734375,3423.779296875,5167.96875,4026.708984375,3122.314453125,1227.392578125,0.013029057,0.29509604,0.049407385,0.06801602,0.00022138427,0.004952739,0.0022584663,0.0011632234,4371.240234375,6632.2265625,5195.703515625,366.4221450056272,63945,44100,American Goldfinch
2067.1875,48,1575.8281341171266,2977,1744.189453125,1270.458984375,2842.3828125,2282.51953125,2131.787109375,2067.1875,0.007506121,0.16512252,0.030533882,0.038222328,5.3431067e-05,0.0039661187,0.0012510755,0.00096646824,3079.248046875,5964.697265625,4970.896875,538.7953800971894,63945,44100,Eastern Bluebird
7078.125,13,4168.153689421891,10265,1125.0,2390.625,7546.875,7382.8125,6281.25,6140.625,0.0135699585,0.21674919,0.03031603,0.038338646,2.1997403e-05,0.004169247,0.0015582152,0.0008106621,4335.9375,8343.75,5644.99080882353,974.0983454750605,69600,48000,Blue Jay
710.595703125,18,812.1934009894649,526,925.927734375,904.39453125,1658.056640625,1442.724609375,4801.904296875,6976.7578125,0.0074281124,0.15388794,0.03005425,0.02921763,0.00049554434,0.052698683,0.015951756,0.009811244,5598.6328125,12639.990234375,10166.944921875,1708.090021281934,63945,44100,Canada Goose
2368.65234375,30,1708.8807439736054,3450,1270.458984375,1485.791015625,925.927734375,2540.91796875,2368.65234375,2433.251953125,0.0009636717,0.005070703,0.0015931578,0.0010007261,0.0024035063,0.061326668,0.030007215,0.013786125,5835.498046875,12726.123046875,11362.98515625,1231.4468900190632,63945,44100,Eastern Bluebird
2842.3828125,53,2009.6367704220825,4885,2131.787109375,2993.115234375,2260.986328125,3380.712890625,2885.44921875,2799.31640625,0.0037267834,0.05795749,0.014395956,0.014405686,6.343652e-06,0.003562533,0.00050957827,0.00047698733,3014.6484375,5792.431640625,4834.290234375,786.4761781702899,63945,44100,American Robin
2217.919921875,50,1755.6828148163845,3429,4952.63671875,4974.169921875,2950.048828125,3509.912109375,4521.97265625,4694.23828125,0.0075279647,0.11451508,0.039097656,0.028230637,7.3104835e-05,0.014793253,0.0040255613,0.0044131745,4328.173828125,10012.939453125,8152.2984375,1748.010406951739,63945,44100,Eastern Bluebird
1528.857421875,42,1170.6620161542858,2241,1248.92578125,1507.32421875,1528.857421875,1378.125,1227.392578125,2476.318359375,0.0015316106,0.0075680763,0.0029276842,0.0017385138,0.002109739,0.051950693,0.025889192,0.014746884,7472.021484375,12273.92578125,10641.1921875,1310.7225585745962,63945,44100,American Crow
4335.9375,60,2633.058990303261,6282,4335.9375,4289.0625,7828.125,7265.625,6984.375,6843.75,0.006656412,0.2707114,0.10633116,0.07866592,7.2307645e-05,0.10335481,0.013002457,0.026548523,4382.8125,16875.0,9745.346966911764,3895.8868023499463,69600,48000,Carolina Chickadee
1148.4375,38,916.9925495042345,1664,1101.5625,1171.875,1734.375,1125.0,1242.1875,1218.75,0.0016879584,0.08883853,0.021207869,0.022815932,5.4630953e-05,0.027745867,0.0035615782,0.0055525717,3234.375,9140.625,6713.120404411765,1669.354301652526,69600,48000,American Crow
1442.724609375,40,1050.7377101547431,1965,1399.658203125,1248.92578125,1507.32421875,1313.525390625,1356.591796875,1679.58984375,0.016177366,0.04407872,0.02672083,0.0063273762,0.00053408986,0.006017185,0.0021186608,0.0008590246,3919.04296875,6201.5625,4764.178125,361.2514894203185,63945,44100,American Crow
2217.919921875,49,1663.3262981669018,3515,2217.919921875,2325.5859375,2282.51953125,2196.38671875,7062.890625,2196.38671875,0.0070412545,0.054021034,0.02214786,0.013577366,0.00095517235,0.03683439,0.011226003,0.009326539,6438.427734375,13113.720703125,10449.460546875,2186.1237044574573,63945,44100,Blue Jay
3445.3125,57,2239.003521681573,4973,3539.0625,3468.75,3468.75,3375.0,3468.75,3257.8125,0.020806238,0.18720436,0.046437766,0.040969357,2.2378532e-05,0.0015944196,0.00067257736,0.00037923933,3140.625,5578.125,3888.901654411765,498.7064378891813,69600,48000,Blue Jay
4710.9375,50,2933.5790620740468,6810,2062.5,3375.0,3375.0,3515.625,4851.5625,2320.3125,0.0022143435,0.04321086,0.008166727,0.011239187,0.00036075083,0.32776713,0.14146347,0.08689723,4898.4375,18914.0625,14949.16130514706,3962.307328124474,69600,48000,Eastern Bluebird
1851.85546875,45,1376.6937462995018,2594,1894.921875,1421.19140625,1636.5234375,1851.85546875,1873.388671875,1787.255859375,0.004936334,0.114797756,0.0428367,0.04087321,3.285109e-05,0.008678325,0.0028568152,0.0030171578,3122.314453125,7407.421875,5670.123046875,942.3323339297979,63945,44100,American Crow
4694.23828125,60,3096.466610829576,6823,3423.779296875,3746.77734375,5727.83203125,4414.306640625,4672.705078125,3725.244140625,0.014969809,0.21166372,0.07618488,0.04280905,4.2233627e-05,0.013047986,0.0019059281,0.0025574896,4349.70703125,11649.462890625,6573.828515625,1580.0167439756096,63945,44100,American Goldfinch
775.1953125,31,1202.7235902613256,1137,1270.458984375,1313.525390625,1270.458984375,1550.390625,1507.32421875,1528.857421875,0.010868402,0.12389773,0.03244008,0.020701777,0.00024086844,0.07121036,0.019994952,0.016833264,4112.841796875,15374.70703125,11740.763671875,2611.4772746693006,63945,44100,Canada Goose
3789.84375,58,2562.8682859474306,5519,2756.25,2713.18359375,3531.4453125,3251.513671875,3509.912109375,3251.513671875,0.0005767585,0.0068798824,0.0015370403,0.001741737,0.0011862908,0.12959322,0.078738794,0.041874245,5211.03515625,14018.115234375,12366.432421875,1990.8477950817244,63945,44100,Blue Jay
890.625,13,1339.9945670973298,2665,937.5,1101.5625,3164.0625,3164.0625,3164.0625,1851.5625,0.013109003,0.22207507,0.027073061,0.033760518,3.2807977e-06,0.0029401777,0.0007566011,0.000379256,187.5,9562.5,4960.305606617647,1203.5248299933123,69600,48000,Blue Jay
4781.25,62,2933.5790620740468,6918,4406.25,3375.0,4687.5,4218.75,4453.125,4734.375,0.0040274453,0.07397856,0.020625321,0.024326503,0.00075584854,0.10402573,0.048037764,0.03439584,4851.5625,16828.125,12885.454963235294,4404.261003851191,69600,48000,American Robin
5943.1640625,66,3741.1620115459477,8624,3983.642578125,6115.4296875,6072.36328125,5964.697265625,5921.630859375,5964.697265625,0.013966276,0.30881917,0.075796835,0.09562557,2.3962371e-05,0.008489213,0.002856676,0.0021189328,6072.36328125,8376.416015625,7060.306640625,596.4944464783938,63945,44100,Brown-headed Cowbird
2906.982421875,54,2064.6758144450405,4234,925.927734375,4155.908203125,5211.03515625,2906.982421875,2950.048828125,3596.044921875,0.012577553,0.20787008,0.037350968,0.042276062,2.3252296e-05,0.060141973,0.0016408598,0.0074479207,2002.587890625,10572.802734375,4190.1890625,1896.3740189411383,63945,44100,Blue Jay
2260.986328125,49,2064.6758144450405,4262,2239.453125,2239.453125,2239.453125,2950.048828125,2906.982421875,2131.787109375,0.0065528033,0.3934411,0.07346242,0.1274155,2.3096762e-05,0.004230465,0.0014421256,0.0008015479,3057.71484375,5921.630859375,4407.760546875,735.7185526939471,63945,44100,Blue Jay
1356.591796875,15,4057.0412364152144,768,6826.025390625,1399.658203125,990.52734375,6912.158203125,6826.025390625,6976.7578125,0.016941173,0.08775185,0.031207925,0.017635291,0.0006382692,0.017332356,0.0045158477,0.0024837626,6912.158203125,11304.931640625,9151.4390625,1140.5542205601348,63945,44100,Carolina Chickadee
1291.9921875,40,1022.7276958555574,1877,1012.060546875,1012.060546875,1184.326171875,1313.525390625,1313.525390625,1291.9921875,0.0012840676,0.13041864,0.009782278,0.024554301,0.0006713996,0.02270998,0.009386938,0.0059403884,5211.03515625,11347.998046875,8171.419921875,1588.314752664726,63945,44100,Canada Goose
2842.3828125,53,2009.6367704220825,4120,1012.060546875,2756.25,1012.060546875,2799.31640625,2842.3828125,2842.3828125,0.011105451,0.31387824,0.064385615,0.07367802,1.3652659e-05,0.005517826,0.0019559243,0.0016212063,2885.44921875,8720.947265625,5641.01015625,1607.3844511256161,63945,44100,Blue Jay
5953.125,66,3544.3606937385,8612,5859.375,6093.75,5953.125,5882.8125,5789.0625,5976.5625,0.046376605,0.07550456,0.05980216,0.006039,0.00038045924,0.0060572196,0.0010048836,0.00063975144,6257.8125,8250.0,6582.835477941177,293.8334045206223,69600,48000,Blue Jay
