peak_Hz,peak_Q,peak_mel,fourier_freq,ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,num_samples,sample_rate,species
2928.515625,54,2064.6758144450405,4245,2196.38671875,1464.2578125,4069.775390625,2906.982421875,2906.982421875,2153.3203125,63945,44100,Blue Jay
5598.6328125,65,3544.3606937385,8307,5706.298828125,5770.8984375,5749.365234375,5706.298828125,5706.298828125,5490.966796875,63945,44100,Carolina Chickadee
1808.7890625,45,1376.6937462995018,2614,1894.921875,1873.388671875,1894.921875,1808.7890625,1808.7890625,1722.65625,63945,44100,Blue Jay
8527.1484375,60,5035.978165116576,12349,7881.15234375,8419.482421875,7902.685546875,6761.42578125,7299.755859375,3832.91015625,63945,44100,Carolina Chickadee
4586.572265625,62,3013.922629388657,6657,4285.107421875,5081.8359375,5706.298828125,4672.705078125,4844.970703125,4780.37109375,63945,44100,American Goldfinch
2928.515625,17,2064.6758144450405,8825,1442.724609375,4565.0390625,5167.96875,2993.115234375,2928.515625,6223.095703125,63945,44100,Blue Jay
2002.587890625,47,1492.9327522878455,2900,2002.587890625,2024.12109375,2002.587890625,2002.587890625,1981.0546875,2002.587890625,63945,44100,Blue Jay
2756.25,53,1956.0649283422904,3980,1270.458984375,1894.921875,2842.3828125,2239.453125,2713.18359375,2756.25,63945,44100,American Robin
5770.8984375,66,3641.4320785415066,8387,4974.169921875,5663.232421875,6352.294921875,4392.7734375,2820.849609375,4780.37109375,63945,44100,American Goldfinch
1442.724609375,28,2562.8682859474306,958,1485.791015625,1291.9921875,1227.392578125,3832.91015625,3854.443359375,1442.724609375,63945,44100,Eastern Bluebird
2484.375,50,1708.8807439736054,3387,5039.0625,2484.375,2507.8125,2343.75,2367.1875,2320.3125,69600,48000,Bald Eagle
3773.4375,58,2428.0503191005596,5476,3210.9375,2507.8125,4804.6875,4265.625,3750.0,3796.875,69600,48000,American Goldfinch
1227.392578125,22,995.5919108903119,659,1593.45703125,1313.525390625,1571.923828125,1248.92578125,1528.857421875,1485.791015625,63945,44100,Canada Goose
3079.248046875,49,1575.8281341171266,3094,1421.19140625,3337.646484375,3337.646484375,3186.9140625,2390.185546875,2627.05078125,63945,44100,American Robin
3423.779296875,20,2363.324628283645,202,3574.51171875,3509.912109375,3445.3125,3316.11328125,3294.580078125,1507.32421875,63945,44100,Blue Jay
2437.5,51,1708.8807439736054,3528,2835.9375,1523.4375,2414.0625,4054.6875,2742.1875,4640.625,69600,48000,Blue Jay
1851.5625,46,1339.9945670973298,2678,1242.1875,1851.5625,1828.125,1851.5625,1757.8125,1804.6875,69600,48000,Blue Jay
1571.923828125,43,1269.5050518489365,2390,1335.05859375,1550.390625,1658.056640625,1636.5234375,1571.923828125,1485.791015625,63945,44100,American Crow
2250.0,49,1575.8281341171266,3248,2367.1875,2203.125,2132.8125,2414.0625,2250.0,2132.8125,69600,48000,Eastern Bluebird
5835.9375,66,3544.3606937385,8463,5812.5,5906.25,5882.8125,5906.25,5835.9375,5882.8125,69600,48000,Blue Jay
1378.125,41,1079.5148503509004,1998,1313.525390625,1421.19140625,1313.525390625,1485.791015625,1356.591796875,1313.525390625,63945,44100,American Crow
4521.97265625,18,2494.5486885421506,548,4198.974609375,4521.97265625,4586.572265625,4198.974609375,4414.306640625,3682.177734375,63945,44100,American Goldfinch
2562.451171875,52,1956.0649283422904,3995,2799.31640625,2562.451171875,3682.177734375,2777.783203125,2777.783203125,2605.517578125,63945,44100,Eastern Bluebird
7084.423828125,69,4282.309241202705,10465,7256.689453125,6955.224609375,7105.95703125,6244.62890625,7407.421875,7256.689453125,63945,44100,Blue Jay
1687.5,44,1269.5050518489365,2404,1687.5,1359.375,1453.125,1710.9375,1828.125,1804.6875,69600,48000,Blue Jay
4543.505859375,62,3013.922629388657,6597,5792.431640625,5340.234375,5081.8359375,4629.638671875,4608.10546875,4565.0390625,63945,44100,Brown-headed Cowbird
8906.25,73,4901.7317027958015,12927,8812.5,8765.625,8648.4375,8320.3125,7898.4375,7828.125,69600,48000,American Robin
3423.779296875,56,2363.324628283645,4983,3423.779296875,3359.1796875,3402.24609375,2540.91796875,3014.6484375,2476.318359375,63945,44100,Blue Jay
3210.9375,55,2121.2222434897826,4653,2835.9375,3164.0625,3187.5,3164.0625,2320.3125,1968.75,69600,48000,American Robin
5663.232421875,61,2933.5790620740468,119,1701.123046875,4285.107421875,4500.439453125,5447.900390625,3380.712890625,4521.97265625,63945,44100,American Goldfinch
3375.0,56,2239.003521681573,4883,3328.125,3351.5625,3445.3125,3750.0,2976.5625,3210.9375,69600,48000,American Goldfinch
1765.72265625,45,1339.9945670973298,2564,1248.92578125,1485.791015625,4048.2421875,1787.255859375,1765.72265625,1787.255859375,63945,44100,Blue Jay
